New sym int e21882 min=-2147483648, max=2147483647
New sym int e21980 min=-2147483648, max=2147483647
New sym int e21981 min=-2147483648, max=2147483647
New sym int e21982 min=-2147483648, max=2147483647
New sym int e21983 min=-2147483648, max=2147483647
New sym int e21984 min=-2147483648, max=2147483647
New sym int e21985 min=-2147483648, max=2147483647
New sym int e21986 min=-2147483648, max=2147483647
New sym int e21987 min=-2147483648, max=2147483647
New sym int e21988 min=-2147483648, max=2147483647
New sym int e21989 min=-2147483648, max=2147483647
New sym int e21990 min=-2147483648, max=2147483647
New sym int e21991 min=-2147483648, max=2147483647
New sym int e21992 min=-2147483648, max=2147483647
New sym int e21993 min=-2147483648, max=2147483647
New sym int e21994 min=-2147483648, max=2147483647
New sym int e21995 min=-2147483648, max=2147483647
New sym int e21996 min=-2147483648, max=2147483647
New sym int e21997 min=-2147483648, max=2147483647
New sym int e21998 min=-2147483648, max=2147483647
New sym int e21999 min=-2147483648, max=2147483647
New sym int e22000 min=-2147483648, max=2147483647
New sym int e22001 min=-2147483648, max=2147483647
New sym int e22002 min=-2147483648, max=2147483647
New sym int e22003 min=-2147483648, max=2147483647
New sym int e22004 min=-2147483648, max=2147483647
New sym int e22005 min=-2147483648, max=2147483647
New sym int e22006 min=-2147483648, max=2147483647
New sym int e22007 min=-2147483648, max=2147483647
New sym int e22008 min=-2147483648, max=2147483647
New sym int e22009 min=-2147483648, max=2147483647
New sym int e22010 min=-2147483648, max=2147483647
New sym int e22011 min=-2147483648, max=2147483647
New sym int e22012 min=-2147483648, max=2147483647
New sym int e22013 min=-2147483648, max=2147483647
New sym int e22014 min=-2147483648, max=2147483647
New sym int e22015 min=-2147483648, max=2147483647
New sym int e22016 min=-2147483648, max=2147483647
New sym int e22017 min=-2147483648, max=2147483647
New sym int e22018 min=-2147483648, max=2147483647
New sym int e22019 min=-2147483648, max=2147483647
New sym int e22020 min=-2147483648, max=2147483647
New sym int e22021 min=-2147483648, max=2147483647
New sym int e22022 min=-2147483648, max=2147483647
New sym int e22023 min=-2147483648, max=2147483647
New sym int e22024 min=-2147483648, max=2147483647
New sym int e22025 min=-2147483648, max=2147483647
New sym int e22026 min=-2147483648, max=2147483647
New sym int e22027 min=-2147483648, max=2147483647
New sym int e22028 min=-2147483648, max=2147483647
New sym int e22029 min=-2147483648, max=2147483647
New sym int e22030 min=-2147483648, max=2147483647
New sym int e22031 min=-2147483648, max=2147483647
New sym int e22032 min=-2147483648, max=2147483647
New sym int e22033 min=-2147483648, max=2147483647
New sym int e22034 min=-2147483648, max=2147483647
New sym int e22035 min=-2147483648, max=2147483647
New sym int e22036 min=-2147483648, max=2147483647
New sym int e22037 min=-2147483648, max=2147483647
New sym int e22038 min=-2147483648, max=2147483647
New sym int e22039 min=-2147483648, max=2147483647
New sym int e22040 min=-2147483648, max=2147483647
New sym int e22041 min=-2147483648, max=2147483647
New sym int e22042 min=-2147483648, max=2147483647
New sym int e22043 min=-2147483648, max=2147483647
New sym int e22044 min=-2147483648, max=2147483647
New sym int e22045 min=-2147483648, max=2147483647
New sym int e22046 min=-2147483648, max=2147483647
New sym int e22047 min=-2147483648, max=2147483647
New sym int e22048 min=-2147483648, max=2147483647
New sym int e22049 min=-2147483648, max=2147483647
New sym int e22050 min=-2147483648, max=2147483647
New sym int e22051 min=-2147483648, max=2147483647
New sym int e22052 min=-2147483648, max=2147483647
New sym int e22053 min=-2147483648, max=2147483647
New sym int e22054 min=-2147483648, max=2147483647
New sym int e22055 min=-2147483648, max=2147483647
New sym int e22056 min=-2147483648, max=2147483647
New sym int e22057 min=-2147483648, max=2147483647
New sym int e22058 min=-2147483648, max=2147483647
New sym int e22059 min=-2147483648, max=2147483647
New sym int e22060 min=-2147483648, max=2147483647
New sym int e22061 min=-2147483648, max=2147483647
New sym int e22062 min=-2147483648, max=2147483647
New sym int e22063 min=-2147483648, max=2147483647
New sym int e22064 min=-2147483648, max=2147483647
New sym int e22065 min=-2147483648, max=2147483647
New sym int e22066 min=-2147483648, max=2147483647
New sym int e22067 min=-2147483648, max=2147483647
New sym int e22068 min=-2147483648, max=2147483647
New sym int e22069 min=-2147483648, max=2147483647
New sym int e22070 min=-2147483648, max=2147483647
New sym int e22071 min=-2147483648, max=2147483647
New sym int e22072 min=-2147483648, max=2147483647
New sym int e22073 min=-2147483648, max=2147483647
New sym int e22074 min=-2147483648, max=2147483647
New sym int e22075 min=-2147483648, max=2147483647
New sym int e22076 min=-2147483648, max=2147483647
New sym int e22077 min=-2147483648, max=2147483647
New sym int e22078 min=-2147483648, max=2147483647
New sym int e22079 min=-2147483648, max=2147483647
New sym int e22080 min=-2147483648, max=2147483647
